dataset,classifier,explainer,threshold,false_mean,false_std,false_var,true_mean,true_std,true_var,ttest_statistic,p_value,interpretation
cicids17,CatBoost,lime,0.0,0.01538,0.0,0.0,0.01538,0.0,0.0,,,Significant difference
cicids17,CatBoost,lime,0.1,0.50826,0.12854,0.016502138736403663,0.54456,0.11227,0.012588927790631279,-5.8826,0.0,Significant difference
cicids17,CatBoost,lime,0.2,0.77649,0.11491,0.01318780856298379,0.8035,0.1026,0.010512719504787644,-4.84919,0.0,Significant difference
cicids17,CatBoost,lime,0.3,0.89506,0.07264,0.00526912336604467,0.89965,0.07145,0.005097838008493673,-1.24475,0.21342,No significant difference
cicids17,CatBoost,lime,0.4,0.949,0.05122,0.002619662644292225,0.95015,0.04951,0.0024478458570908225,-0.44509,0.65632,No significant difference
cicids17,CatBoost,lime,0.5,0.97323,0.03393,0.001149471009607644,0.97386,0.03316,0.0010979927054809502,-0.36349,0.71629,No significant difference
cicids17,CatBoost,lime,0.6,0.97993,0.02053,0.0004207863207419593,0.98055,0.01925,0.000370239838468035,-0.61269,0.54017,No significant difference
cicids17,CatBoost,lime,0.7,0.98216,0.01181,0.00013939553416086122,0.98277,0.01185,0.0001401356530803786,-0.99742,0.31872,No significant difference
cicids17,CatBoost,lime,0.8,0.98319,0.00731,5.3342756705368814e-05,0.98373,0.00662,4.376974313980799e-05,-1.52299,0.12797,No significant difference
cicids17,CatBoost,lime,0.9,0.98411,0.00378,1.4288743948933855e-05,0.98437,0.00272,7.3672165234582316e-06,-1.55284,0.12067,No significant difference
cicids17,CatBoost,shap,0.0,0.34433,0.10103,0.01019284334326478,0.26453,0.11995,0.014368868495174944,14.07389,0.0,Significant difference
cicids17,CatBoost,shap,0.1,0.63268,0.14703,0.021588646050007067,0.84786,0.08574,0.007342400295643131,-34.96823,0.0,Significant difference
cicids17,CatBoost,shap,0.2,0.77323,0.12668,0.016026989669931734,0.93368,0.04181,0.0017455870535810207,-33.26524,0.0,Significant difference
cicids17,CatBoost,shap,0.3,0.85589,0.09091,0.008253326528688076,0.95457,0.02678,0.00071603229527105,-28.80098,0.0,Significant difference
cicids17,CatBoost,shap,0.4,0.9016,0.06261,0.003914758320081717,0.96825,0.02113,0.00044610324102827015,-27.89576,0.0,Significant difference
cicids17,CatBoost,shap,0.5,0.9269,0.04414,0.0019457200626573352,0.97583,0.01611,0.00025907640337593347,-28.80247,0.0,Significant difference
cicids17,CatBoost,shap,0.6,0.94246,0.03132,0.0009799231115529582,0.97927,0.01234,0.00015206976733017044,-30.23438,0.0,Significant difference
cicids17,CatBoost,shap,0.7,0.95688,0.02364,0.0005578975971665177,0.9814,0.00888,7.875188852919334e-05,-26.85501,0.0,Significant difference
cicids17,CatBoost,shap,0.8,0.97022,0.01695,0.0002870747381083646,0.98279,0.00625,3.9037835293713374e-05,-19.23836,0.0,Significant difference
cicids17,CatBoost,shap,0.9,0.97921,0.01003,0.00010037064083732555,0.98395,0.00367,1.3482297432257569e-05,-12.29453,0.0,Significant difference
cicids17,RandomForest,lime,0.0,0.01538,0.0,3.009265538105056e-36,0.01538,0.0,3.009265538105056e-36,0.0,1.0,No significant difference
cicids17,RandomForest,lime,0.1,0.74294,0.02951,0.000870134674556213,0.74334,0.02415,0.0005828428402366863,-0.33168,0.74017,No significant difference
cicids17,RandomForest,lime,0.2,0.94885,0.0125,0.00015606508875739655,0.94988,0.01525,0.00023229254437869833,-1.65321,0.09845,No significant difference
cicids17,RandomForest,lime,0.3,0.97026,0.00672,4.509136094674567e-05,0.97111,0.00912,8.310437869822505e-05,-2.36208,0.01827,Significant difference
cicids17,RandomForest,lime,0.4,0.98434,0.00274,7.497278106508884e-06,0.98423,0.00502,2.517751479289944e-05,0.59547,0.5516,No significant difference
cicids17,RandomForest,lime,0.5,0.9844,0.00247,6.107455621301781e-06,0.98435,0.00353,1.247597633136096e-05,0.3384,0.7351,No significant difference
cicids17,RandomForest,lime,0.6,0.98443,0.00228,5.173017751479292e-06,0.98437,0.0035,1.224710059171599e-05,0.46602,0.64125,No significant difference
cicids17,RandomForest,lime,0.7,0.98448,0.00188,3.5311242603550346e-06,0.98443,0.00283,8.01325443786983e-06,0.42934,0.66772,No significant difference
cicids17,RandomForest,lime,0.8,0.98458,0.00069,4.724260355029621e-07,0.98448,0.00253,6.371360946745572e-06,1.30113,0.19337,No significant difference
cicids17,RandomForest,lime,0.9,0.98462,0.0,1.232595164407831e-32,0.98454,0.00129,1.6508875739645019e-06,1.89226,0.0586,No significant difference
cicids17,RandomForest,shap,0.0,0.22832,0.06241,0.0038905843786982254,0.15569,0.0683,0.004660733727810651,24.82486,0.0,Significant difference
cicids17,RandomForest,shap,0.1,0.64038,0.087,0.007561272189349113,0.66289,0.09698,0.009395090177514793,-5.4632,0.0,Significant difference
cicids17,RandomForest,shap,0.2,0.79268,0.06817,0.0046427039053254454,0.81912,0.07746,0.005994307928994084,-8.10467,0.0,Significant difference
cicids17,RandomForest,shap,0.3,0.87052,0.06862,0.004704602130177515,0.88478,0.05644,0.003181983195266272,-5.0758,0.0,Significant difference
cicids17,RandomForest,shap,0.4,0.89958,0.06163,0.00379485704142012,0.9196,0.0438,0.0019164317159763317,-8.37104,0.0,Significant difference
cicids17,RandomForest,shap,0.5,0.92612,0.04921,0.0024191233136094674,0.94332,0.03506,0.0012279630769230767,-9.00198,0.0,Significant difference
cicids17,RandomForest,shap,0.6,0.94768,0.03477,0.0012076210650887572,0.95992,0.02753,0.0007571538461538464,-8.73225,0.0,Significant difference
cicids17,RandomForest,shap,0.7,0.96412,0.02114,0.00044633751479289954,0.97206,0.01855,0.0003437027218934916,-8.92677,0.0,Significant difference
