dataset,classifier,sample_set,threshold,lime_mean,lime_std,lime_var,shap_mean,shap_std,shap_var,ttest_statistic,p_value,interpretation
cicids17,CatBoost,general_idx,0.0,0.01538,0.0,0.0,0.2936,0.11765,0.01384,-236.48103,0.0,Significant difference
cicids17,CatBoost,general_idx,0.1,0.54643,0.11155,0.01244,0.83166,0.10793,0.01165,-183.12923,0.0,Significant difference
cicids17,CatBoost,general_idx,0.2,0.80434,0.10135,0.01027,0.91853,0.05917,0.0035,-97.39019,0.0,Significant difference
cicids17,CatBoost,general_idx,0.3,0.90083,0.07061,0.00499,0.94757,0.03637,0.00132,-58.9858,0.0,Significant difference
cicids17,CatBoost,general_idx,0.4,0.9504,0.04965,0.00247,0.96228,0.02393,0.00057,-21.63833,0.0,Significant difference
cicids17,CatBoost,general_idx,0.5,0.974,0.0319,0.00102,0.97081,0.01795,0.00032,8.76843,0.0,Significant difference
cicids17,CatBoost,general_idx,0.6,0.98047,0.01925,0.00037,0.97592,0.01387,0.00019,19.23581,0.0,Significant difference
cicids17,CatBoost,general_idx,0.7,0.98273,0.01113,0.00012,0.97885,0.01099,0.00012,24.77307,0.0,Significant difference
cicids17,CatBoost,general_idx,0.8,0.98373,0.0061,4e-05,0.98103,0.00837,7e-05,25.95673,0.0,Significant difference
cicids17,CatBoost,general_idx,0.9,0.98429,0.00295,1e-05,0.98294,0.00547,3e-05,21.72063,0.0,Significant difference
cicids17,RandomForest,general_idx,0.0,0.01538,0.0,0.0,0.16703,0.07196,0.00518,-210.73763,0.0,Significant difference
cicids17,RandomForest,general_idx,0.1,0.74384,0.02676,0.00072,0.66573,0.11092,0.0123,68.09981,0.0,Significant difference
cicids17,RandomForest,general_idx,0.2,0.95009,0.01557,0.00024,0.81732,0.08813,0.00777,148.38547,0.0,Significant difference
cicids17,RandomForest,general_idx,0.3,0.97121,0.00776,6e-05,0.88136,0.06269,0.00393,141.77661,0.0,Significant difference
cicids17,RandomForest,general_idx,0.4,0.98437,0.00402,2e-05,0.91841,0.04863,0.00236,135.01356,0.0,Significant difference
cicids17,RandomForest,general_idx,0.5,0.98446,0.00285,1e-05,0.9415,0.03869,0.0015,110.52517,0.0,Significant difference
cicids17,RandomForest,general_idx,0.6,0.98453,0.00182,0.0,0.95921,0.0281,0.00079,89.8913,0.0,Significant difference
cicids17,RandomForest,general_idx,0.7,0.98455,0.00146,0.0,0.97101,0.01869,0.00035,72.24542,0.0,Significant difference
cicids17,RandomForest,general_idx,0.8,0.98459,0.00065,0.0,0.97784,0.01117,0.00012,60.29211,0.0,Significant difference
cicids17,RandomForest,general_idx,0.9,0.98461,0.00031,0.0,0.98171,0.00667,4e-05,43.35904,0.0,Significant difference
cicids17,XGBoost,general_idx,0.0,0.01538,0.0,0.0,0.35752,0.11805,0.01394,-289.8103,0.0,Significant difference
cicids17,XGBoost,general_idx,0.1,0.25892,0.06374,0.00406,0.8103,0.09184,0.00843,-494.87543,0.0,Significant difference
cicids17,XGBoost,general_idx,0.2,0.47442,0.08447,0.00713,0.90579,0.05488,0.00301,-429.5857,0.0,Significant difference
cicids17,XGBoost,general_idx,0.3,0.64508,0.08643,0.00747,0.9419,0.03413,0.00116,-319.83057,0.0,Significant difference
cicids17,XGBoost,general_idx,0.4,0.76835,0.07653,0.00586,0.95874,0.02434,0.00059,-237.45499,0.0,Significant difference
cicids17,XGBoost,general_idx,0.5,0.85073,0.0613,0.00376,0.96884,0.0186,0.00035,-185.00627,0.0,Significant difference
cicids17,XGBoost,general_idx,0.6,0.90429,0.04584,0.0021,0.97499,0.01403,0.0002,-147.36611,0.0,Significant difference
cicids17,XGBoost,general_idx,0.7,0.93857,0.03293,0.00108,0.97877,0.0103,0.00011,-116.42546,0.0,Significant difference
cicids17,XGBoost,general_idx,0.8,0.96101,0.02215,0.00049,0.98067,0.00791,6e-05,-83.95495,0.0,Significant difference
cicids17,XGBoost,general_idx,0.9,0.97535,0.01297,0.00017,0.98264,0.00552,3e-05,-51.91435,0.0,Significant difference
cicids18,CatBoost,general_idx,0.0,0.01587,0.0,0.0,0.29609,0.12903,0.01665,-217.17175,0.0,Significant difference
cicids18,CatBoost,general_idx,0.1,0.41701,0.08962,0.00803,0.83293,0.08661,0.0075,-336.63199,0.0,Significant difference
cicids18,CatBoost,general_idx,0.2,0.68886,0.08987,0.00808,0.91808,0.04565,0.00208,-227.62632,0.0,Significant difference
cicids18,CatBoost,general_idx,0.3,0.83616,0.06733,0.00453,0.94524,0.02811,0.00079,-150.03264,0.0,Significant difference
cicids18,CatBoost,general_idx,0.4,0.90587,0.04384,0.00192,0.95845,0.0202,0.00041,-109.14461,0.0,Significant difference
cicids18,CatBoost,general_idx,0.5,0.93856,0.02792,0.00078,0.96656,0.01601,0.00026,-86.19298,0.0,Significant difference
cicids18,CatBoost,general_idx,0.6,0.95558,0.01862,0.00035,0.97251,0.01321,0.00017,-74.35559,0.0,Significant difference
cicids18,CatBoost,general_idx,0.7,0.96614,0.01397,0.0002,0.9773,0.0104,0.00011,-64.22054,0.0,Significant difference
cicids18,CatBoost,general_idx,0.8,0.97392,0.01116,0.00012,0.98061,0.00757,6e-05,-49.6266,0.0,Significant difference
cicids18,CatBoost,general_idx,0.9,0.97963,0.00792,6e-05,0.9827,0.00483,2e-05,-33.04922,0.0,Significant difference
cicids18,RandomForest,general_idx,0.0,0.01587,0.0,0.0,0.21101,0.09111,0.0083,-214.16546,0.0,Significant difference
