dataset,classifier,sample_set,run_nr,threshold,lime_mean,lime_std,lime_var,shap_mean,shap_std,shap_var,ttest_statistic,p_value,interpretation
cicids17,CatBoost,general_idx,1,0.0,0.01538,0.0,0.0,0.27149,0.11449,0.01311,-70.73669,0.0,Significant difference
cicids17,CatBoost,general_idx,1,0.1,0.54898,0.11138,0.01241,0.85046,0.08611,0.00742,-66.21768,0.0,Significant difference
cicids17,CatBoost,general_idx,1,0.2,0.80712,0.09735,0.00948,0.9346,0.04099,0.00168,-37.85017,0.0,Significant difference
cicids17,CatBoost,general_idx,1,0.3,0.90242,0.06671,0.00445,0.95478,0.0262,0.00069,-23.1729,0.0,Significant difference
cicids17,CatBoost,general_idx,1,0.4,0.95197,0.04565,0.00208,0.969,0.01981,0.00039,-10.84775,0.0,Significant difference
cicids17,CatBoost,general_idx,1,0.5,0.97458,0.02961,0.00088,0.97683,0.01444,0.00021,-2.16083,0.03095,Significant difference
cicids17,CatBoost,general_idx,1,0.6,0.98103,0.01741,0.0003,0.97985,0.01075,0.00012,1.84022,0.06603,No significant difference
cicids17,CatBoost,general_idx,1,0.7,0.98297,0.0099,0.0001,0.98152,0.00812,7e-05,3.5583,0.00039,Significant difference
cicids17,CatBoost,general_idx,1,0.8,0.98392,0.0054,3e-05,0.98302,0.00527,3e-05,3.77893,0.00017,Significant difference
cicids17,CatBoost,general_idx,1,0.9,0.98443,0.00217,0.0,0.98398,0.00305,1e-05,3.73706,0.0002,Significant difference
cicids17,CatBoost,general_idx,2,0.0,0.01538,0.0,0.0,0.312,0.11404,0.01301,-82.25017,0.0,Significant difference
cicids17,CatBoost,general_idx,2,0.1,0.54498,0.10825,0.01172,0.83545,0.07016,0.00492,-70.42155,0.0,Significant difference
cicids17,CatBoost,general_idx,2,0.2,0.80725,0.09583,0.00918,0.92234,0.0413,0.00171,-34.8782,0.0,Significant difference
cicids17,CatBoost,general_idx,2,0.3,0.90251,0.06412,0.00411,0.95046,0.02559,0.00065,-21.63537,0.0,Significant difference
cicids17,CatBoost,general_idx,2,0.4,0.95166,0.04338,0.00188,0.9618,0.02073,0.00043,-6.56289,0.0,Significant difference
cicids17,CatBoost,general_idx,2,0.5,0.97538,0.02585,0.00067,0.97092,0.01611,0.00026,4.5502,1e-05,Significant difference
cicids17,CatBoost,general_idx,2,0.6,0.98125,0.0157,0.00025,0.97832,0.01141,0.00013,4.7389,0.0,Significant difference
cicids17,CatBoost,general_idx,2,0.7,0.98329,0.00855,7e-05,0.98122,0.00863,7e-05,5.33045,0.0,Significant difference
cicids17,CatBoost,general_idx,2,0.8,0.98392,0.00489,2e-05,0.98275,0.00639,4e-05,4.57052,1e-05,Significant difference
cicids17,CatBoost,general_idx,2,0.9,0.98442,0.00222,0.0,0.98377,0.00377,1e-05,4.62915,0.0,Significant difference
cicids17,CatBoost,general_idx,3,0.0,0.01538,0.0,0.0,0.28998,0.11807,0.01394,-73.54734,0.0,Significant difference
cicids17,CatBoost,general_idx,3,0.1,0.54891,0.111,0.01232,0.87702,0.07655,0.00586,-75.06493,0.0,Significant difference
cicids17,CatBoost,general_idx,3,0.2,0.80442,0.09938,0.00988,0.94005,0.04099,0.00168,-39.218,0.0,Significant difference
