dataset,model,explainer,k,run_base,false_mean,false_std,true_mean,true_std,ttest_statistic,p_value,interpretation
cicids17,CatBoost,lime,5,runs_3,0.59958,0.25612,0.55119,0.26507,4.95725,0.0,Significant difference
cicids17,CatBoost,lime,5,runs_5,0.54123,0.2649,0.4798,0.25869,6.26529,0.0,Significant difference
cicids17,CatBoost,lime,5,runs_10,0.47265,0.26159,0.35428,0.21531,13.19366,0.0,Significant difference
cicids17,CatBoost,lime,10,runs_3,0.53794,0.22788,0.46564,0.23613,8.31989,0.0,Significant difference
cicids17,CatBoost,lime,10,runs_5,0.45954,0.22704,0.40063,0.24332,6.68405,0.0,Significant difference
cicids17,CatBoost,lime,10,runs_10,0.38184,0.21648,0.30835,0.21058,9.1894,0.0,Significant difference
cicids17,CatBoost,lime,20,runs_3,0.48787,0.20821,0.41003,0.18109,10.65227,0.0,Significant difference
cicids17,CatBoost,lime,20,runs_5,0.40175,0.21723,0.32675,0.18973,9.81955,0.0,Significant difference
cicids17,CatBoost,lime,20,runs_10,0.33436,0.21237,0.24821,0.16631,12.06053,0.0,Significant difference
cicids17,CatBoost,lime,50,runs_3,0.73797,0.11385,0.68624,0.08878,13.52919,0.0,Significant difference
cicids17,CatBoost,lime,50,runs_5,0.60788,0.18769,0.52135,0.14814,13.66661,0.0,Significant difference
cicids17,CatBoost,lime,50,runs_10,0.4663,0.26202,0.34024,0.19918,14.46327,0.0,Significant difference
cicids17,CatBoost,shap,5,runs_3,0.59958,0.25612,0.55119,0.26507,4.95725,0.0,Significant difference
cicids17,CatBoost,shap,5,runs_5,0.54123,0.2649,0.4798,0.25869,6.26529,0.0,Significant difference
cicids17,CatBoost,shap,5,runs_10,0.47265,0.26159,0.35428,0.21531,13.19366,0.0,Significant difference
cicids17,CatBoost,shap,10,runs_3,0.53794,0.22788,0.46564,0.23613,8.31989,0.0,Significant difference
cicids17,CatBoost,shap,10,runs_5,0.45954,0.22704,0.40063,0.24332,6.68405,0.0,Significant difference
